City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
653,Fairmont,US,39.4851,-80.1426,62.76,89,100,3.0,light rain
654,Bom Jesus,BR,-9.0744,-44.3586,81.95,83,87,5.73,moderate rain
655,Khingansk,RU,49.1167,131.1833,11.98,96,100,0.74,light snow
656,Shelburne,CA,44.0787,-80.2041,59.67,95,97,30.47,overcast clouds
657,Iquique,CL,-20.2208,-70.1431,69.84,67,66,9.04,broken clouds
658,Kidal,ML,18.4411,1.4078,76.82,10,99,7.96,overcast clouds
659,Lang Suan,TH,9.9456,99.0785,75.43,84,46,4.83,scattered clouds
660,Ginda,IN,30.6945,78.4932,42.13,25,34,7.25,scattered clouds
661,Bosaso,SO,11.2842,49.1816,77.65,75,12,12.19,few clouds
662,Bregenz,AT,47.5031,9.7471,38.12,80,75,1.99,broken clouds
663,Gorontalo,ID,0.5412,123.0595,76.08,96,80,3.78,broken clouds
664,Kharan,PK,28.5833,65.4167,56.12,14,71,3.18,broken clouds
